shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.94508,11.44966,0,0.0
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.94517,11.45055,1,99.57963
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.94517,11.45081,2,128.52269
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.94514,11.45108,3,158.76392
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.93892,11.46436,4,1791.2057
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.93735,11.46606,5,2048.8064
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.93577,11.46761,6,2295.1948
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.93549,11.46774,7,2329.56
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.93321,11.4662,8,2635.8403
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.93207,11.46556,9,2781.3755
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.93181,11.46533,10,2820.0178
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.93171,11.46509,11,2848.961
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.93168,11.46475,12,2886.9565
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.93167,11.46428,13,2939.2886
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.93177,11.46399,14,2973.4368
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.93188,11.46394,15,2986.8875
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.93202,11.46402,16,3004.8372
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.93224,11.46409,17,3030.5374
ATB:JourneyPattern:963_Outbound_191212112235052_191212112221115,64.93224,11.46409,18,3030.5374
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.93224,11.46409,0,0.0
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.93202,11.46402,1,25.7001
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.93188,11.46394,2,43.64983
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.93177,11.46399,3,57.100613
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.93167,11.46428,4,91.24867
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.93168,11.46475,5,143.58067
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.93171,11.46509,6,181.57635
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.93181,11.46533,7,210.51942
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.93207,11.46556,8,249.16188
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.93321,11.4662,9,394.69693
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.93549,11.46774,10,700.9773
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.93577,11.46761,11,735.3424
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.93735,11.46606,12,981.73096
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.93892,11.46436,13,1239.3315
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.94514,11.45108,14,2871.7734
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.94517,11.45081,15,2902.0146
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.94517,11.45055,16,2930.9575
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.94508,11.44966,17,3030.5374
ATB:JourneyPattern:963_Inbound_191212112235053_191212112221115,64.94508,11.44966,18,3030.5374
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.46461,11.49132,0,0.0
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.46399,11.4893,1,235.2189
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.45316,11.46589,2,3106.565
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.45155,11.46157,3,3619.7766
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.45065,11.45608,4,4239.078
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.45041,11.4484,5,5094.429
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.45096,11.44046,6,5980.4243
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.45248,11.43608,7,6496.529
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.45583,11.43252,8,7040.699
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.46417,11.42827,9,8082.7
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.47396,11.42505,10,9229.952
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.47701,11.42527,11,9570.359
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.49245,11.43033,12,11379.077
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.49603,11.43235,13,11836.664
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.50531,11.44119,14,13263.396
ATB:JourneyPattern:980_Outbound_200220166313316_191212112221115,64.50767,11.44338,15,13621.798
