service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATB:DayType:1111100_10_191212112221115,1,1,1,1,1,0,0,20200620,20200809
ATB:DayType:1110000_42_191212110592096,1,1,1,0,0,0,0,20200618,20200809
ATB:DayType:0000110_3_200109132268628,0,0,0,0,1,1,0,20200621,20200813
ATB:DayType:0000010_28_191212112221115,0,0,0,0,0,1,0,20200621,20200814
ATB:DayType:1111000_44_191212110592096,1,1,1,1,0,0,0,20200619,20200809
ATB:DayType:0110000_38_191212110592096,0,1,1,0,0,0,0,20200618,20200810
ATB:DayType:0000100_5_200109132268628,0,0,0,0,1,0,0,20200620,20200813
ATB:DayType:0010111_3_191212112221115,0,0,1,0,1,0,0,20200620,20200811
ATB:DayType:1101000_24_191212112221115,1,1,0,1,0,0,0,20200619,20200809
ATB:DayType:0101011_20_191212112221115,0,1,0,1,0,0,0,20200619,20200810
ATB:DayType:1110100_43_191212110592096,1,1,1,0,1,0,0,20200620,20200809
ATB:DayType:0000000_8_191212110592096,1,1,1,1,1,0,0,20200620,20200809
ATB:DayType:0000100_29_191212110592096,0,0,0,0,1,0,0,20200620,20200813
ATB:DayType:1111111_7_191212110592096,0,0,0,0,0,0,1,20200622,20200808
ATB:DayType:0000010_23_191212110592096,0,0,0,0,0,1,0,20200621,20200814
ATB:DayType:0000001_6_191212110592096,0,0,0,0,0,0,1,20200622,20200808
ATB:DayType:1010100_15_191212110592096,1,0,1,0,1,0,0,20200620,20200809
