route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
ATB:Line:200109132268964_2_200109132268628,ATB:Authority:1,2,Strindheim- Lade- sentrum- Sau,,704,,,
ATB:Line:200109132268963_1_200109132268628,ATB:Authority:1,1,Ranheim - Strindheim - sentrum - Tiller - Heimdal - Kattem,,704,,,
ATB:Line:200109132268972_20_200109132268628,ATB:Authority:1,20,Grillstad - Strindheim - Ladehammeren- Sentrum - Romolslia,,704,,,
ATB:Line:200109132268971_15_200109132268628,ATB:Authority:1,15,Østmarka- Strindheim- E6- Nidarvoll- Tiller- Torgård,,704,,,
ATB:Line:200109132268976_24_200109132268628,ATB:Authority:1,24,City Syd- Kroppanmarka- Lerkendal,,704,,,
ATB:Line:200109132268975_23_200109132268628,ATB:Authority:1,23,Brattøra - St. Olavs- Hallset - Flatåsen - Sandmoen,,704,,,
ATB:Line:200109132268966_10_200109132268628,ATB:Authority:1,10,Sæterbakken- Strindheim- Sentrum- Ratesvingen,,704,,,
ATB:Line:200109132268965_3_200109132268628,ATB:Authority:1,3,Lohove- Sentrum- Hallset,,704,,,
ATB:Line:200109132268968_12_200109132268628,ATB:Authority:1,12,Dragvoll - Strindheim - sentrum - Marienborg,,704,,,
ATB:Line:200109132268967_11_200109132268628,ATB:Authority:1,11,Blakli- Sentrum- Stavset,,704,,,
ATB:Line:200109132268983_42_200109132268628,ATB:Authority:1,42,Buenget- Hallset- Munkvoll,,704,,,
ATB:Line:200109132268982_41_200109132268628,ATB:Authority:1,41,Ranheim- Reppe,,704,,,
ATB:Line:200109132268986_50_200109132268628,ATB:Authority:1,50,Sverresborg - Byåsen - Flatåsen - Saupstadringen - Heimdal - Sandmoen,,704,,,
ATB:Line:200109132268985_44_200109132268628,ATB:Authority:1,44,Ranheim - Klokkerplassen - Værestrøa,,704,,,
ATB:Line:200109132268979_16_200109132268628,ATB:Authority:1,16,Flatåsen- Heimdal- Torgård,,704,,,
ATB:Line:200109132268977_25_200109132268628,ATB:Authority:1,25,Vikåsen- Strindheim- Singsaker,,704,,,
ATB:Line:200109132268981_40_200109132268628,ATB:Authority:1,40,Flatåsen- Tonstad,,704,,,
ATB:Line:200109132268980_46_200109132268628,ATB:Authority:1,46,Heggstadmyra- Lundåsen,,704,,,
ATB:Line:200109132268996_75_200109132268628,ATB:Authority:1,75,Trondheim S- Sentrum- Spongdal,,704,,,
