stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,vehicle_type
NSR:StopPlace:43687,,Persaunet leir,,63.431545,10.441777,,,1,,2,,,700
NSR:StopPlace:46714,,Brumoen,,64.58237,11.001293,,,1,,2,,,700
NSR:StopPlace:42355,,Slakthuset,,63.38525,10.407559,,,1,,2,,,700
NSR:StopPlace:46713,,Sandmohavn,,64.56787,11.054899,,,1,,2,,,700
NSR:StopPlace:43686,,Esphaugen,,63.099464,10.128863,,,1,,2,,,700
NSR:StopPlace:43685,,Bergheim,,62.785275,9.996791,,,1,,2,,,700
NSR:StopPlace:42354,,Hallfred Høyems veg,,63.41975,10.467439,,,1,,2,,,700
NSR:StopPlace:46715,,Frisendal vegdele,,64.58833,10.976572,,,1,,2,,,700
NSR:StopPlace:42352,,Skåveien,,63.115818,9.699876,,,1,,2,,,700
NSR:StopPlace:43683,,Esp østre,,63.39108,10.126034,,,1,,2,,,700
NSR:StopPlace:43682,,Ranheim,,63.425083,10.533758,,,1,,2,,,700
NSR:StopPlace:46717,,Frisendal,,64.55858,10.952692,,,1,,2,,,700
NSR:StopPlace:42351,,Hallansvingen,,63.314262,10.416537,,,1,,2,,,700
NSR:StopPlace:42350,,Vågan,,63.45563,9.286394,,,1,,2,,,700
NSR:StopPlace:43681,,Bergheim,,63.410175,10.455694,,,1,,2,,,700
NSR:StopPlace:43680,,Esp meieri,,63.32799,10.323592,,,1,,2,,,700
NSR:StopPlace:46710,,Nesset,,64.46606,10.73152,,,1,,2,,,700
NSR:StopPlace:42359,,Vågen,,63.48174,8.768649,,,1,,2,,,700
NSR:StopPlace:43689,,Bergheim snuplass,,63.408836,10.456667,,,1,,2,,,700
NSR:StopPlace:46712,,Sandmoen,,64.56472,11.065207,,,1,,2,,,700
NSR:StopPlace:43688,,Esplykkja,,63.33471,10.3326,,,1,,2,,,700
NSR:StopPlace:46711,,Kvaløysæter,,64.47084,10.700355,,,1,,2,,,700
NSR:StopPlace:42357,,Hallgotto,,63.240997,11.055421,,,1,,2,,,700
NSR:StopPlace:42367,,Løkkjbekken,,62.652626,9.865346,,,1,,2,,,700
NSR:StopPlace:43698,,Perstu,,63.362934,10.192611,,,1,,2,,,700
NSR:StopPlace:42366,,Hallset,,62.612896,9.750528,,,1,,2,,,700
NSR:StopPlace:42365,,Vårum,,63.499554,10.080061,,,1,,2,,,700
NSR:StopPlace:43696,,Bergsli gate,,63.427414,10.367684,,,1,,2,,,900
NSR:StopPlace:43695,,Espåsen,,63.09068,10.055261,,,1,,2,,,700
NSR:StopPlace:42364,,Sletta,,63.48076,9.783932,,,1,,2,,,700
NSR:StopPlace:43694,,Bergmyran,,63.75509,10.43972,,,1,,2,,,700
NSR:StopPlace:42362,,Vårhus,,62.94047,11.086304,,,1,,2,,,700
NSR:StopPlace:43693,,Espås,,63.345047,10.542802,,,1,,2,,,700
NSR:StopPlace:42360,,Hallguttu,,63.243702,9.77093,,,1,,2,,,700
NSR:StopPlace:43691,,Espnes,,63.7189,8.59649,,,1,,2,,,700
NSR:StopPlace:43690,,Bergli,,63.714176,8.591275,,,1,,2,,,700
NSR:StopPlace:42369,,Hallset,,62.93359,10.315632,,,1,,2,,,700
NSR:StopPlace:43699,,Bergslia,,63.053432,9.702622,,,1,,2,,,700
NSR:StopPlace:42368,,Våttålia,,63.289684,10.103869,,,1,,2,,,700
NSR:StopPlace:42378,,Lønset v/butikken,,62.583397,9.344209,,,1,,2,,,700
NSR:StopPlace:45404,,Kippe,,64.057755,11.75449,,,1,,2,,,700
NSR:StopPlace:42377,,Halstein gård,,63.368656,10.403186,,,1,,2,,,700
NSR:StopPlace:45405,,Verdal vgs.,,63.795403,11.503517,,,1,,2,,,700
NSR:StopPlace:42376,,Være Ranheimsvegen,,63.430294,10.564271,,,1,,2,,,700
NSR:StopPlace:45406,,Reitanvegen,,64.05595,11.69763,,,1,,2,,,700
NSR:StopPlace:46738,,Østre,,64.85583,11.188709,,,1,,2,,,700
NSR:StopPlace:42374,,Halstad,,63.414753,10.780672,,,1,,2,,,700
NSR:StopPlace:45408,,Kirkehaug,,63.795635,11.508928,,,1,,2,,,700
NSR:StopPlace:46739,,Austafjord skole,,64.91833,10.942182,,,1,,2,,,700
NSR:StopPlace:42373,,Væktarstua,,62.908066,11.893071,,,1,,2,,,700
NSR:StopPlace:42372,,Løkli,,62.908672,10.12758,,,1,,2,,,700
NSR:StopPlace:42371,,Våvatnet,,63.32149,9.528713,,,1,,2,,,700
NSR:StopPlace:42370,,Halsen,,63.409695,9.959512,,,1,,2,,,700
NSR:StopPlace:45400,,Betania,,63.92453,11.456768,,,1,,2,,,700
NSR:StopPlace:45401,,Nesset,,63.877045,11.60086,,,1,,2,,,700
NSR:StopPlace:45402,,Verdal bo- og helsetun,,63.795105,11.496158,,,1,,2,,,700
NSR:StopPlace:42379,,Haltdalen Coop,,62.92448,11.152943,,,1,,2,,,700
NSR:StopPlace:45403,,Ness oppvekstsenter,,63.761948,11.61521,,,1,,2,,,700
NSR:StopPlace:42389,,Løvrød,,62.88944,10.704968,,,1,,2,,,700
NSR:StopPlace:45415,,Kulstadvika,,63.86687,11.601905,,,1,,2,,,700
