service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATB:DayType:0100100_12_191003108126166,0,1,0,0,1,0,0,20200201,20200629
ATB:DayType:1111100_220_190214093487476,1,1,1,1,1,0,0,20190817,20200621
ATB:DayType:1101111_214_190214093487476,1,1,0,1,1,0,0,20190810,20200621
ATB:DayType:1111111_65_190109082920647,0,0,0,0,0,1,0,20190804,20200626
ATB:DayType:1010000_158_190214093487476,1,0,1,0,0,0,0,20190808,20200202
ATB:DayType:0010000_36_190214093487476,0,0,1,0,0,0,0,20190926,20200623
ATB:DayType:1111111_56_190214093487476,0,0,0,0,0,0,1,20190805,20200620
ATB:DayType:1111000_41_190214093487476,1,1,1,1,0,0,0,20190809,20200621
ATB:DayType:0111000_51_190109082920647,0,1,1,1,0,0,0,20190815,20200622
ATB:DayType:1111111_59_190214093487476,0,0,0,0,0,0,1,20190805,20191130
ATB:DayType:1111000_44_190214093487476,1,1,1,1,0,0,0,20190809,20200202
ATB:DayType:0010000_98_190214093487476,0,0,1,0,0,0,0,20190808,20200623
ATB:DayType:1011100_22_191003108126166,1,0,1,1,1,0,0,20200201,20200628
ATB:DayType:1111111_149_190214093487476,0,0,0,0,0,0,1,20191209,20200620
ATB:DayType:1111111_143_190214093487476,1,1,1,1,1,0,0,20190810,20200621
ATB:DayType:0010100_167_190214093487476,0,0,1,0,1,0,0,20190810,20200623
ATB:DayType:0000010_102_190214093487476,0,0,0,0,0,1,0,20190804,20200626
ATB:DayType:1011000_244_190214093487476,1,0,1,1,0,0,0,20190816,20200621
ATB:DayType:1111111_161_190109082920647,1,1,1,1,1,0,0,20190815,20200621
ATB:DayType:1011000_98_190109082920647,1,0,1,1,0,0,0,20191213,20200621
ATB:DayType:0000000_35_190619065679393,1,1,1,1,1,0,0,20190803,20200202
ATB:DayType:1111000_32_190619065679393,1,1,1,1,0,0,0,20190802,20200202
ATB:DayType:1100000_23_191003108126166,1,1,0,0,0,0,0,20200129,20200628
ATB:DayType:1111111_12_190109082920647,1,1,1,1,1,0,0,20191214,20200621
ATB:DayType:1010100_26_190619065679393,1,0,1,0,1,0,0,20190803,20200202
ATB:DayType:1001000_171_190214093487476,1,0,0,1,0,0,0,20190809,20200621
ATB:DayType:0001000_33_190214093487476,0,0,0,1,0,0,0,20190927,20200624
ATB:DayType:1111110_55_190214093487476,1,0,1,1,1,0,1,20191224,20200414
ATB:DayType:1000100_136_190109082920647,1,0,0,0,1,0,0,20190810,20200621
ATB:DayType:1001000_79_190214093487476,1,0,0,1,0,0,0,20190816,20200621
ATB:DayType:0000001_290_190214093487476,0,0,0,0,0,0,1,20190805,20200620
ATB:DayType:1010000_114_190109082920647,1,0,1,0,0,0,0,20190815,20200621
ATB:DayType:1111111_68_190214093487476,1,1,1,1,1,0,0,20191005,20200309
ATB:DayType:1111111_8_190619065679393,0,0,0,0,0,1,0,20190728,20200207
ATB:DayType:0101000_13_191003108126166,0,1,0,1,0,0,0,20200131,20200629
ATB:DayType:0000010_8_190214093487476,0,0,0,0,0,1,0,20190818,20200626
ATB:DayType:0001000_150_190109082920647,0,0,0,1,0,0,0,20190809,20200624
ATB:DayType:1111111_164_190109082920647,1,1,1,1,1,0,0,20190817,20200621
ATB:DayType:0101000_71_190109082920647,0,1,0,1,0,0,0,20190809,20200622
ATB:DayType:1111111_59_190109082920647,1,1,1,1,1,0,0,20191214,20200621
ATB:DayType:0000010_67_190109082920647,0,0,0,0,0,1,0,20190804,20200626
ATB:DayType:1111111_134_190214093487476,0,0,0,0,0,1,0,20190804,20200626
ATB:DayType:1111111_47_190214093487476,1,1,1,1,1,0,0,20190810,20200621
ATB:DayType:1111111_140_190109082920647,1,1,1,1,1,0,0,20190810,20200621
ATB:DayType:1111111_131_190214093487476,0,0,0,0,0,1,0,20190804,20200626
ATB:DayType:1111111_146_190109082920647,0,0,0,0,0,0,1,20191230,20200620
ATB:DayType:0001100_95_190214093487476,0,0,0,1,1,0,0,20190810,20200624
ATB:DayType:1111100_273_190214093487476,1,1,1,1,1,0,0,20190810,20200202
ATB:DayType:0100100_190_190214093487476,0,1,0,0,1,0,0,20190814,20200622
ATB:DayType:0001100_15_190619065679393,0,0,0,1,1,0,0,20190803,20200205
ATB:DayType:0000001_287_190214093487476,0,0,0,0,0,0,1,20190805,20200620
ATB:DayType:0000100_30_191003108126166,0,0,0,0,1,0,0,20200201,20200702
ATB:DayType:1101000_153_190109082920647,1,1,0,1,0,0,0,20190814,20200621
ATB:DayType:0100100_193_190214093487476,0,1,0,0,1,0,0,20200101,20200622
ATB:DayType:0000000_205_190214093487476,1,1,1,1,1,0,0,20190810,20200621
ATB:DayType:0000001_293_190214093487476,1,0,1,1,1,0,1,20191224,20200414
ATB:DayType:1110100_73_190109082920647,1,1,1,0,1,0,0,20190810,20200621
ATB:DayType:1011100_245_190214093487476,1,0,1,1,1,0,0,20190815,20200621
ATB:DayType:0000100_120_190214093487476,0,0,0,0,1,0,0,20190810,20200625
ATB:DayType:1111111_12_190214093487476,0,0,0,0,0,0,1,20190805,20200620
ATB:DayType:0010000_166_190214093487476,0,0,1,0,0,0,0,20190808,20200623
ATB:DayType:0000100_135_190109082920647,0,0,0,0,1,0,0,20190810,20200625
ATB:DayType:0010011_22_190109082920647,0,0,1,0,0,0,0,20190815,20200623
ATB:DayType:1101100_24_191003108126166,1,1,0,1,1,0,0,20200201,20200628
ATB:DayType:1000000_37_190109082920647,1,0,0,0,0,0,0,20190806,20200621
ATB:DayType:0101000_132_190109082920647,0,1,0,1,0,0,0,20200131,20200622
ATB:DayType:0000000_226_190214093487476,0,0,0,0,0,0,1,20190805,20200620
ATB:DayType:1111100_74_190109082920647,1,1,1,1,1,0,0,20190810,20200621
ATB:DayType:0011011_25_190109082920647,0,0,1,1,0,0,0,20190815,20200623
ATB:DayType:0000100_162_190214093487476,0,0,0,0,1,0,0,20191214,20200625
ATB:DayType:1111111_34_191003108126166,0,0,0,0,1,1,0,20200202,20200702
ATB:DayType:1110000_31_190619065679393,1,1,1,0,0,0,0,20190801,20200202
ATB:DayType:0000100_118_190214093487476,0,0,0,0,1,0,0,20190810,20200206
ATB:DayType:1010000_19_191003108126166,1,0,1,0,0,0,0,20200130,20200628
ATB:DayType:1111111_28_191003108126166,1,1,1,1,1,0,0,20200201,20200628
ATB:DayType:0000111_229_190214093487476,0,0,0,0,1,0,0,20190810,20200625
ATB:DayType:0000000_5_191003108126166,1,1,1,1,1,0,0,20200201,20200628
ATB:DayType:1111111_39_190109082920647,1,1,1,1,1,0,0,20200201,20200621
ATB:DayType:0000010_276_190214093487476,0,0,0,0,0,1,0,20190804,20200626
ATB:DayType:0000010_279_190214093487476,0,0,0,0,0,1,0,20190929,20200626
ATB:DayType:1111111_95_190109082920647,0,0,0,0,0,0,1,20191209,20200620
ATB:DayType:1111111_123_190109082920647,1,1,1,1,1,0,0,20190815,20200621
ATB:DayType:1111111_120_190109082920647,1,1,1,1,1,0,0,20190815,20200618
ATB:DayType:1000000_18_191003108126166,1,0,0,0,0,0,0,20200128,20200628
ATB:DayType:0010000_234_190214093487476,0,0,1,0,0,0,0,20190815,20200623
ATB:DayType:1111000_199_190214093487476,1,1,1,1,0,0,0,20190815,20200621
ATB:DayType:0010000_9_191003108126166,0,0,1,0,0,0,0,20200130,20200630
ATB:DayType:0110000_32_190109082920647,0,1,1,0,0,0,0,20191212,20200622
ATB:DayType:1111111_15_190109082920647,0,0,0,0,0,1,0,20190804,20200626
ATB:DayType:1111111_27_190214093487476,1,1,1,1,1,0,0,20190815,20200621
ATB:DayType:1100100_247_190214093487476,1,1,0,0,1,0,0,20190814,20200621
ATB:DayType:1111000_74_190214093487476,1,1,1,1,0,0,0,20191001,20200621
ATB:DayType:0110100_239_190214093487476,0,1,1,0,1,0,0,20190815,20200622
ATB:DayType:0100100_128_190109082920647,0,1,0,0,1,0,0,20190810,20200224
ATB:DayType:1111111_105_190109082920647,0,0,0,0,0,1,0,20191215,20200626
ATB:DayType:1111111_108_190109082920647,0,0,0,0,0,1,0,20191215,20200626
ATB:DayType:0101000_20_190619065679393,0,1,0,1,0,0,0,20190802,20200203
ATB:DayType:0110011_50_190109082920647,0,1,1,0,0,0,0,20190815,20200622
ATB:DayType:1111100_217_190214093487476,1,1,1,1,1,0,0,20190810,20200621
ATB:DayType:0100000_154_190214093487476,0,1,0,0,0,0,0,20190814,20200622
ATB:DayType:1111000_252_190214093487476,1,1,1,1,0,0,0,20190816,20200621
ATB:DayType:1100000_246_190214093487476,1,1,0,0,0,0,0,20190814,20200621
ATB:DayType:1111000_216_190214093487476,1,1,1,1,0,0,0,20190809,20200621
ATB:DayType:0010100_10_191003108126166,0,0,1,0,1,0,0,20200201,20200630
ATB:DayType:1110100_269_190214093487476,1,1,1,0,1,0,0,20191001,20200621
ATB:DayType:1111111_111_190214093487476,0,0,0,0,0,0,1,20190805,20200620
ATB:DayType:0111000_240_190214093487476,0,1,1,1,0,0,0,20190815,20200622
ATB:DayType:1011100_266_190214093487476,1,0,1,1,1,0,0,20190810,20200621
ATB:DayType:1111111_129_190214093487476,1,1,1,1,1,0,0,20190810,20200621
ATB:DayType:1111111_126_190214093487476,1,1,1,1,1,0,0,20191214,20200621
ATB:DayType:0001100_97_190214093487476,0,0,0,1,1,0,0,20190810,20200624
