service_id,date,exception_type
ATB:DayType:0100100_12_191003108126166,20200410,2
ATB:DayType:0100100_12_191003108126166,20200221,2
ATB:DayType:0100100_12_191003108126166,20200218,2
ATB:DayType:0100100_12_191003108126166,20200501,2
ATB:DayType:1111100_220_190214093487476,20191231,2
ATB:DayType:1111100_220_190214093487476,20200413,2
ATB:DayType:1111100_220_190214093487476,20191226,2
ATB:DayType:1111100_220_190214093487476,20200410,2
ATB:DayType:1111100_220_190214093487476,20191225,2
ATB:DayType:1111100_220_190214093487476,20200409,2
ATB:DayType:1111100_220_190214093487476,20191224,2
ATB:DayType:1111100_220_190214093487476,20200521,2
ATB:DayType:1111100_220_190214093487476,20200101,2
ATB:DayType:1111100_220_190214093487476,20200501,2
ATB:DayType:1111100_220_190214093487476,20200601,2
ATB:DayType:1101111_214_190214093487476,20200408,1
ATB:DayType:1101111_214_190214093487476,20191231,2
ATB:DayType:1101111_214_190214093487476,20191230,2
ATB:DayType:1101111_214_190214093487476,20200413,2
ATB:DayType:1101111_214_190214093487476,20191227,2
ATB:DayType:1101111_214_190214093487476,20191226,2
ATB:DayType:1101111_214_190214093487476,20200410,2
ATB:DayType:1101111_214_190214093487476,20200409,2
ATB:DayType:1101111_214_190214093487476,20191224,2
ATB:DayType:1101111_214_190214093487476,20200521,2
ATB:DayType:1101111_214_190214093487476,20200501,2
ATB:DayType:1101111_214_190214093487476,20200601,2
ATB:DayType:1111111_68_190109082920647,20200202,1
ATB:DayType:1111111_68_190109082920647,20200209,1
ATB:DayType:1111111_68_190109082920647,20200216,1
ATB:DayType:1111111_68_190109082920647,20200223,1
ATB:DayType:1111111_68_190109082920647,20200301,1
ATB:DayType:1111111_68_190109082920647,20200308,1
ATB:DayType:1111111_68_190109082920647,20200315,1
ATB:DayType:1111111_68_190109082920647,20200322,1
ATB:DayType:1111111_68_190109082920647,20200329,1
ATB:DayType:1111111_68_190109082920647,20200405,1
ATB:DayType:1111111_68_190109082920647,20200413,1
ATB:DayType:1111111_68_190109082920647,20200419,1
ATB:DayType:1111111_68_190109082920647,20200426,1
ATB:DayType:1111111_68_190109082920647,20200501,1
ATB:DayType:1111111_68_190109082920647,20200503,1
ATB:DayType:1111111_68_190109082920647,20200510,1
ATB:DayType:1111111_68_190109082920647,20200524,1
ATB:DayType:1111111_68_190109082920647,20200601,1
ATB:DayType:1111111_68_190109082920647,20200607,1
ATB:DayType:1111111_68_190109082920647,20200614,1
ATB:DayType:1111111_65_190109082920647,20191214,2
ATB:DayType:1111111_65_190109082920647,20191228,2
ATB:DayType:1111111_65_190109082920647,20200111,2
ATB:DayType:1111111_65_190109082920647,20200125,2
ATB:DayType:1111111_65_190109082920647,20191207,2
ATB:DayType:1111111_65_190109082920647,20191221,2
ATB:DayType:1111111_65_190109082920647,20200104,2
ATB:DayType:1111111_65_190109082920647,20200118,2
ATB:DayType:1010000_158_190214093487476,20191225,2
ATB:DayType:1010000_158_190214093487476,20200101,2
ATB:DayType:0010000_36_190214093487476,20191225,2
ATB:DayType:0010000_36_190214093487476,20200408,2
ATB:DayType:0010000_36_190214093487476,20200101,2
ATB:DayType:1111111_56_190214093487476,20200412,2
ATB:DayType:1111000_41_190214093487476,20191226,2
ATB:DayType:1111000_41_190214093487476,20191225,2
ATB:DayType:1111000_41_190214093487476,20200409,2
ATB:DayType:1111000_41_190214093487476,20191224,2
ATB:DayType:1111000_41_190214093487476,20200408,2
ATB:DayType:1111000_41_190214093487476,20200101,2
ATB:DayType:0111000_51_190109082920647,20191231,2
ATB:DayType:0111000_51_190109082920647,20191226,2
ATB:DayType:0111000_51_190109082920647,20191225,2
ATB:DayType:0111000_51_190109082920647,20191224,2
ATB:DayType:0111000_51_190109082920647,20200521,2
ATB:DayType:0111000_51_190109082920647,20200220,2
ATB:DayType:0111000_51_190109082920647,20200219,2
ATB:DayType:0111000_51_190109082920647,20200218,2
ATB:DayType:0111000_51_190109082920647,20191010,2
ATB:DayType:0111000_51_190109082920647,20191009,2
ATB:DayType:0111000_51_190109082920647,20200409,2
ATB:DayType:0111000_51_190109082920647,20191008,2
ATB:DayType:0111000_51_190109082920647,20200408,2
ATB:DayType:0111000_51_190109082920647,20200407,2
ATB:DayType:0111000_51_190109082920647,20200102,2
ATB:DayType:0111000_51_190109082920647,20200101,2
ATB:DayType:1111111_59_190214093487476,20200413,1
ATB:DayType:1111000_44_190214093487476,20191231,2
ATB:DayType:1111000_44_190214093487476,20191226,2
ATB:DayType:1111000_44_190214093487476,20191225,2
ATB:DayType:1111000_44_190214093487476,20191224,2
ATB:DayType:1111000_44_190214093487476,20200101,2
ATB:DayType:0010000_98_190214093487476,20191225,2
ATB:DayType:0010000_98_190214093487476,20200101,2
ATB:DayType:1011100_22_191003108126166,20200413,2
ATB:DayType:1011100_22_191003108126166,20200410,2
ATB:DayType:1011100_22_191003108126166,20200409,2
ATB:DayType:1011100_22_191003108126166,20200221,2
ATB:DayType:1011100_22_191003108126166,20200521,2
ATB:DayType:1011100_22_191003108126166,20200220,2
ATB:DayType:1011100_22_191003108126166,20200219,2
ATB:DayType:1011100_22_191003108126166,20200217,2
ATB:DayType:1011100_22_191003108126166,20200501,2
ATB:DayType:1011100_22_191003108126166,20200601,2
ATB:DayType:1111111_149_190214093487476,20200413,1
ATB:DayType:1111111_149_190214093487476,20200101,1
ATB:DayType:1111111_149_190214093487476,20200531,2
ATB:DayType:1111111_149_190214093487476,20191229,2
ATB:DayType:1111111_149_190214093487476,20200412,2
ATB:DayType:1111111_149_190214093487476,20200308,2
ATB:DayType:1111111_149_190214093487476,20191222,2
ATB:DayType:1111111_149_190214093487476,20200405,2
ATB:DayType:1111111_149_190214093487476,20200216,2
ATB:DayType:1111111_143_190214093487476,20191231,2
ATB:DayType:1111111_143_190214093487476,20191230,2
ATB:DayType:1111111_143_190214093487476,20200413,2
ATB:DayType:1111111_143_190214093487476,20191227,2
ATB:DayType:1111111_143_190214093487476,20191226,2
ATB:DayType:1111111_143_190214093487476,20200410,2
ATB:DayType:1111111_143_190214093487476,20191225,2
ATB:DayType:1111111_143_190214093487476,20200409,2
ATB:DayType:1111111_143_190214093487476,20191224,2
ATB:DayType:1111111_143_190214093487476,20200101,2
ATB:DayType:0010100_167_190214093487476,20191227,2
ATB:DayType:0010100_167_190214093487476,20200410,2
ATB:DayType:0010100_167_190214093487476,20191225,2
ATB:DayType:0010100_167_190214093487476,20200101,2
ATB:DayType:0010100_167_190214093487476,20200501,2
ATB:DayType:1011000_244_190214093487476,20191230,2
ATB:DayType:1011000_244_190214093487476,20191226,2
