route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,wheelchair_accessible,shape_id
ATB:Line:190214093566698_5903_190214093487476,ATB:DayType:0110100_239_190214093487476,ATB:ServiceJourney:5903_190214093694435_2_190214093487476,Tårnes,,1,0,
ATB:Line:190214093566698_5903_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5903_190214093694437_12_190214093487476,Lauvøy,,1,0,
ATB:Line:190214093566698_5903_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5903_190214093694438_8_190214093487476,Tårnes,,1,0,
ATB:Line:190214093566698_5903_190214093487476,ATB:DayType:0110100_239_190214093487476,ATB:ServiceJourney:5903_190214093694436_14_190214093487476,Lauvøy,,1,0,
ATB:Line:190214093566698_5903_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5903_190214093694439_10_190214093487476,Skola,,1,0,
ATB:Line:190214093566698_5903_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5903_190214093694442_1_190214093487476,Dragseid,,0,0,
ATB:Line:190214093566698_5903_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5903_190214093694440_5_190214093487476,Åfjord skysstasjon,,0,0,
ATB:Line:190214093566698_5903_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5903_190214093694443_9_190214093487476,Åfjord skysstasjon,,0,0,
ATB:Line:190214093566698_5903_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5903_190214093694441_3_190214093487476,Åfjord skysstasjon,,0,0,
ATB:Line:190214093566698_5903_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5903_190214093694444_11_190214093487476,Åfjord skysstasjon,,0,0,
ATB:Line:190214093566698_5903_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5903_190214093694445_7_190214093487476,Åfjord skysstasjon,,0,0,
ATB:Line:190214093566700_5905_190214093487476,ATB:DayType:1111111_201_190214093487476,ATB:ServiceJourney:5905_190214093694449_2_190214093487476,Brandsfjord skole,,1,0,
ATB:Line:190214093566700_5905_190214093487476,ATB:DayType:1111111_201_190214093487476,ATB:ServiceJourney:5905_190214093694450_4_190214093487476,Grensen,,1,0,
ATB:Line:190214093566700_5905_190214093487476,ATB:DayType:1111111_201_190214093487476,ATB:ServiceJourney:5905_190214093694451_3_190214093487476,Brandsfjord skole,,0,0,
ATB:Line:190214093566700_5905_190214093487476,ATB:DayType:1111111_201_190214093487476,ATB:ServiceJourney:5905_190214093694452_7_190214093487476,Storvik,,0,0,
ATB:Line:190214093566700_5905_190214093487476,ATB:DayType:1111111_201_190214093487476,ATB:ServiceJourney:5905_190214093694453_5_190214093487476,Storvik,,0,0,
ATB:Line:190214093566702_5992_190214093487476,ATB:DayType:1011100_245_190214093487476,ATB:ServiceJourney:5992_190214093694459_2_190214093487476,"Åsegg, øvre",,1,0,
ATB:Line:190214093566702_5992_190214093487476,ATB:DayType:1101100_250_190214093487476,ATB:ServiceJourney:5992_190214093694460_4_190214093487476,"Åsegg, øvre",,1,0,
ATB:Line:190214093566702_5992_190214093487476,ATB:DayType:0010000_233_190214093487476,ATB:ServiceJourney:5992_190214093694461_6_190214093487476,"Åsegg, øvre",,1,0,
ATB:Line:190214093566702_5992_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5992_190214093694462_1_190214093487476,Strand,,0,0,
ATB:Line:190214093566704_7702_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7702_190214093694471_2_190214093487476,Fagerhaug oppvekstsenter,,1,0,
ATB:Line:190214093566704_7702_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7702_190214093694472_6_190214093487476,Stjørdal stasjon,,1,0,
ATB:Line:190214093566704_7702_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7702_190214093694473_4_190214093487476,Stjørdal stasjon,,1,0,
ATB:Line:190214093566704_7702_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7702_190214093694474_8_190214093487476,Fagerhaug oppvekstsenter,,1,0,
ATB:Line:190214093566704_7702_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7702_190214093694479_9_190214093487476,Alstad,,0,0,
ATB:Line:190214093566704_7702_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7702_190214093694481_11_190214093487476,Skeikrysset,,0,0,
ATB:Line:190214093566704_7702_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7702_190214093694482_13_190214093487476,Tiller,,0,0,
ATB:Line:190214093566704_7702_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7702_190214093694476_5_190214093487476,Alstad,,0,0,
ATB:Line:190214093566704_7702_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7702_190214093694477_1_190214093487476,Mæla,,0,0,
ATB:Line:190214093566704_7702_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7702_190214093694480_7_190214093487476,Baar,,0,0,
ATB:Line:190214093566704_7702_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7702_190214093694478_3_190214093487476,Skeikrysset,,0,0,
ATB:Line:190214093566673_5554_190214093487476,ATB:DayType:0000100_188_190214093487476,ATB:ServiceJourney:5554_190214093694249_4_190214093487476,Botngård,,1,0,
ATB:Line:190214093566673_5554_190214093487476,ATB:DayType:1111000_199_190214093487476,ATB:ServiceJourney:5554_190214093694250_2_190214093487476,Botngård,,1,0,
ATB:Line:190214093566673_5554_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5554_190214093694251_3_190214093487476,Vallersund oppvekstsenter,,0,0,
ATB:Line:190214093566675_5556_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5556_190214093694265_4_190214093487476,Botngård skole/Fosen vgs.,,1,0,
ATB:Line:190214093566675_5556_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5556_190214093694264_2_190214093487476,Botngård skole/Fosen vgs.,,1,0,
ATB:Line:190214093566675_5556_190214093487476,ATB:DayType:0100100_156_190214093487476,ATB:ServiceJourney:5556_190214093694266_1_190214093487476,Sandstad,,0,0,
ATB:Line:190214093566675_5556_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5556_190214093694268_7_190214093487476,Sandstad,,0,0,
ATB:Line:190214093566675_5556_190214093487476,ATB:DayType:0010000_233_190214093487476,ATB:ServiceJourney:5556_190214093694267_3_190214093487476,Sandstad,,0,0,
ATB:Line:190214093566675_5556_190214093487476,ATB:DayType:1101100_250_190214093487476,ATB:ServiceJourney:5556_190214093694269_9_190214093487476,Sandstad,,0,0,
ATB:Line:190214093566677_5558_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5558_190214093694281_2_190214093487476,Botngård skole/Fosen vgs.,,1,0,
ATB:Line:190214093566677_5558_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5558_190214093694282_4_190214093487476,Ørland ungdomsskole,,1,0,
ATB:Line:190214093566677_5558_190214093487476,ATB:DayType:0010000_233_190214093487476,ATB:ServiceJourney:5558_190214093694283_3_190214093487476,Uthaug,,0,0,
ATB:Line:190214093566677_5558_190214093487476,ATB:DayType:1101100_250_190214093487476,ATB:ServiceJourney:5558_190214093694288_11_190214093487476,Uthaug,,0,0,
ATB:Line:190214093566677_5558_190214093487476,ATB:DayType:0100100_156_190214093487476,ATB:ServiceJourney:5558_190214093694284_5_190214093487476,Uthaug,,0,0,
ATB:Line:190214093566677_5558_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5558_190214093694286_13_190214093487476,Uthaug,,0,0,
ATB:Line:190214093566696_5901_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5901_190214093694425_4_190214093487476,Åset skole,,1,0,
ATB:Line:190214093566696_5901_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5901_190214093694424_6_190214093487476,Åset skole,,1,0,
ATB:Line:190214093566696_5901_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5901_190214093694423_2_190214093487476,Åset skole,,1,0,
ATB:Line:190214093566696_5901_190214093487476,ATB:DayType:0110100_239_190214093487476,ATB:ServiceJourney:5901_190214093694426_1_190214093487476,Stjern,,0,0,
ATB:Line:190214093566696_5901_190214093487476,ATB:DayType:1111000_199_190214093487476,ATB:ServiceJourney:5901_190214093694427_3_190214093487476,By,,0,0,
ATB:Line:190214093566696_5901_190214093487476,ATB:DayType:0000100_188_190214093487476,ATB:ServiceJourney:5901_190214093694428_7_190214093487476,Stjern,,0,0,
ATB:Line:190214093566696_5901_190214093487476,ATB:DayType:1111000_199_190214093487476,ATB:ServiceJourney:5901_190214093694429_5_190214093487476,Stjern,,0,0,
ATB:Line:190214093566655_5404_190214093487476,ATB:DayType:1111111_28_190214093487476,ATB:ServiceJourney:5404_190214093694113_4_190214093487476,Hov skole,,1,0,
ATB:Line:190214093566655_5404_190214093487476,ATB:DayType:1111111_86_190214093487476,ATB:ServiceJourney:5404_190214093694112_2_190214093487476,Røros skole,,1,0,
ATB:Line:190214093566655_5404_190214093487476,ATB:DayType:1111111_86_190214093487476,ATB:ServiceJourney:5404_190214093694115_1_190214093487476,Haltdalen oppvekstsenter,,0,0,
ATB:Line:190214093566655_5404_190214093487476,ATB:DayType:1111111_28_190214093487476,ATB:ServiceJourney:5404_190214093694116_3_190214093487476,Bjørgen,,0,0,
ATB:Line:190214093566655_5404_190214093487476,ATB:DayType:1111111_28_190214093487476,ATB:ServiceJourney:5404_190214093694114_5_190214093487476,Bollingmo,,0,0,
ATB:Line:190214093566657_5471_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5471_190214093694126_14_190214093487476,Wolden,,1,0,
ATB:Line:190214093566657_5471_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5471_190214093694121_2_190214093487476,Singsås skole,,1,0,
ATB:Line:190214093566657_5471_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5471_190214093694124_8_190214093487476,Wolden,,1,0,
ATB:Line:190214093566657_5471_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5471_190214093694123_6_190214093487476,Almåsøy,,1,0,
ATB:Line:190214093566657_5471_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5471_190214093694125_10_190214093487476,Haltdalen oppvekstsenter,,1,0,
ATB:Line:190214093566657_5471_190214093487476,ATB:DayType:0011000_150_190214093487476,ATB:ServiceJourney:5471_190214093694122_4_190214093487476,Kjelden bru,,1,0,
ATB:Line:190214093566657_5471_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5471_190214093694131_9_190214093487476,Enodd,,0,0,
ATB:Line:190214093566657_5471_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5471_190214093694127_1_190214093487476,Singsås skole,,0,0,
ATB:Line:190214093566657_5471_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5471_190214093694129_7_190214093487476,Singsås skole,,0,0,
ATB:Line:190214093566657_5471_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5471_190214093694130_5_190214093487476,Singsås skole,,0,0,
ATB:Line:190214093566657_5471_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5471_190214093694128_3_190214093487476,Støren Rådhus,,0,0,
ATB:Line:190214093566660_5474_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5474_190214093694162_4_190214093487476,Støren barneskole,,1,0,
ATB:Line:190214093566660_5474_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:5474_190214093694161_2_190214093487476,Størenhallen snuplass,,1,0,
ATB:Line:190214093566660_5474_190214093487476,ATB:DayType:0011000_150_190214093487476,ATB:ServiceJourney:5474_190214093694163_1_190214093487476,Støren Stasjon,,0,0,
ATB:Line:190214093566660_5474_190214093487476,ATB:DayType:1100100_247_190214093487476,ATB:ServiceJourney:5474_190214093694164_3_190214093487476,Støren Stasjon,,0,0,
ATB:Line:190214093566670_5523_190214093487476,ATB:DayType:1011100_245_190214093487476,ATB:ServiceJourney:5523_190214093694222_1_190214093487476,Årlotten,,0,0,
ATB:Line:190214093566670_5523_190214093487476,ATB:DayType:0100100_156_190214093487476,ATB:ServiceJourney:5523_190214093694223_3_190214093487476,Frengen vegd.,,0,0,
ATB:Line:190214093566670_5523_190214093487476,ATB:DayType:0111100_241_190214093487476,ATB:ServiceJourney:5523_190214093694224_5_190214093487476,Rissa,,0,0,
ATB:Line:190214093566706_7705_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7705_190214093694490_2_190214093487476,Aglo vgs.,,1,0,
ATB:Line:190214093566706_7705_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7705_190214093694492_6_190214093487476,Aglo vgs.,,1,0,
ATB:Line:190214093566706_7705_190214093487476,ATB:DayType:0000000_187_190214093487476,ATB:ServiceJourney:7705_190214093697920_4_190214093487476,Aglo vgs.,,1,0,
ATB:Line:190214093566706_7705_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7705_190214093694493_3_190214093487476,Halsen ungdomsskole,,0,0,
ATB:Line:190214093566706_7705_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7705_190214093694494_5_190214093487476,Halsen ungdomsskole,,0,0,
ATB:Line:190214093566706_7705_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7705_190214093694495_7_190214093487476,Halsen ungdomsskole,,0,0,
ATB:Line:190214093566706_7705_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7705_190214093694496_1_190214093487476,Halsen ungdomsskole,,0,0,
ATB:Line:190214093566708_7707_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7707_190214093694504_2_190214093487476,Hell,,1,0,
ATB:Line:190214093566708_7707_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7707_190214093694505_4_190214093487476,Hell,,1,0,
ATB:Line:190214093566708_7707_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7707_190214093694506_6_190214093487476,Hell,,1,0,
ATB:Line:190214093566708_7707_190214093487476,ATB:DayType:1111111_256_190214093487476,ATB:ServiceJourney:7707_190214093694507_1_190214093487476,Stjørdal stasjon,,0,0,
