route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146359_36,ATB:DayType:767,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146363_44,ATB:DayType:767,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146366_48,ATB:DayType:767,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146369_52,ATB:DayType:767,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146371_56,ATB:DayType:767,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146373_60,ATB:DayType:767,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146375_64,ATB:DayType:767,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146377_68,ATB:DayType:767,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146380_72,ATB:DayType:767,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146382_74,ATB:DayType:767,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146387_84,ATB:DayType:767,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146391_90,ATB:DayType:767,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146393_92,ATB:DayType:767,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146394_94,ATB:DayType:767,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146396_96,ATB:DayType:767,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146405_6002,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146406_6004,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146407_6006,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146408_6008,ATB:DayType:866,Reppe,1,
