service_id,date,exception_type
ATB:DayType:711,20220411,2
ATB:DayType:711,20220418,2
ATB:DayType:711,20220516,2
ATB:DayType:711,20220606,2
ATB:DayType:713,20220412,2
ATB:DayType:713,20220414,2
ATB:DayType:713,20220415,2
ATB:DayType:713,20220517,2
ATB:DayType:713,20220526,2
ATB:DayType:714,20220425,1
ATB:DayType:714,20220509,1
ATB:DayType:714,20220523,1
ATB:DayType:714,20220620,1
ATB:DayType:715,20220414,2
ATB:DayType:715,20220517,2
ATB:DayType:715,20220526,2
ATB:DayType:717,20220412,2
ATB:DayType:717,20220413,2
ATB:DayType:717,20220414,2
ATB:DayType:717,20220419,2
ATB:DayType:717,20220517,2
ATB:DayType:717,20220526,2
ATB:DayType:718,20220412,2
ATB:DayType:718,20220415,2
ATB:DayType:718,20220419,2
ATB:DayType:718,20220517,2
ATB:DayType:718,20220527,2
ATB:DayType:719,20220414,2
ATB:DayType:719,20220526,2
ATB:DayType:720,20220412,2
ATB:DayType:720,20220414,2
ATB:DayType:720,20220517,2
ATB:DayType:720,20220526,2
ATB:DayType:721,20220414,2
ATB:DayType:721,20220415,2
ATB:DayType:721,20220418,2
ATB:DayType:721,20220517,2
ATB:DayType:721,20220526,2
ATB:DayType:721,20220606,2
ATB:DayType:722,20220414,1
ATB:DayType:722,20220415,1
ATB:DayType:722,20220417,1
ATB:DayType:722,20220418,1
ATB:DayType:722,20220508,1
ATB:DayType:722,20220515,1
ATB:DayType:722,20220522,1
ATB:DayType:722,20220529,1
ATB:DayType:722,20220605,1
ATB:DayType:722,20220612,1
ATB:DayType:722,20220619,1
ATB:DayType:722,20220626,1
ATB:DayType:723,20220411,2
ATB:DayType:723,20220413,2
ATB:DayType:723,20220415,2
ATB:DayType:723,20220418,2
ATB:DayType:723,20220516,2
ATB:DayType:723,20220527,2
ATB:DayType:723,20220606,2
ATB:DayType:724,20220404,1
ATB:DayType:724,20220502,1
ATB:DayType:724,20220530,1
ATB:DayType:724,20220613,1
ATB:DayType:725,20220410,1
ATB:DayType:725,20220418,1
ATB:DayType:725,20220424,1
ATB:DayType:725,20220501,1
ATB:DayType:725,20220508,1
ATB:DayType:725,20220515,1
ATB:DayType:725,20220522,1
ATB:DayType:725,20220529,1
ATB:DayType:725,20220606,1
ATB:DayType:725,20220612,1
