stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:76548,Harran oppvekstsenter,64.563979,12.500524,,,NSR:StopPlace:44514,,700,01
NSR:Quay:76549,Hojem,63.608669,10.815901,,,NSR:StopPlace:44515,,700,02
NSR:Quay:76550,Hojem,63.607907,10.815447,,,NSR:StopPlace:44515,,700,01
NSR:Quay:76551,Storskorstad,64.577799,11.186372,,,NSR:StopPlace:44516,,700,02
NSR:Quay:76552,Storskorstad,64.577730,11.186216,,,NSR:StopPlace:44516,,700,01
NSR:Quay:76553,Grong barne- og ungdomsskole,64.464260,12.310302,,,NSR:StopPlace:44517,,700,02
NSR:Quay:76554,Grong barne- og ungdomsskole,64.464172,12.310116,,,NSR:StopPlace:44517,,700,01
NSR:Quay:76555,Veium,64.468375,12.101442,,,NSR:StopPlace:44518,,700,01
NSR:Quay:76556,Veium,64.468069,12.100705,,,NSR:StopPlace:44518,,700,02
NSR:Quay:76557,Mestuggu,63.603299,10.821587,,,NSR:StopPlace:44519,,700,02
NSR:Quay:76558,Mestuggu,63.603279,10.820849,,,NSR:StopPlace:44519,,700,01
NSR:Quay:76559,Skorstad,64.573844,11.166628,,,NSR:StopPlace:44520,,700,02
NSR:Quay:76560,Skorstad,64.573702,11.166856,,,NSR:StopPlace:44520,,700,01
NSR:Quay:76561,Brauta,64.481224,12.147132,,,NSR:StopPlace:44521,,700,02
NSR:Quay:76562,Brauta,64.481211,12.147380,,,NSR:StopPlace:44521,,700,01
NSR:Quay:76563,Ulvik,63.599131,10.840928,,,NSR:StopPlace:44522,,700,02
NSR:Quay:76565,Ulvik,63.599107,10.841027,,,NSR:StopPlace:44522,,700,01
NSR:Quay:76566,Skorstad vegdele,64.584699,11.256828,,,NSR:StopPlace:44523,,700,01
NSR:Quay:76567,Skorstad vegdele,64.585076,11.256015,,,NSR:StopPlace:44523,,700,03
NSR:Quay:76568,Holandsøy,64.480178,12.158103,,,NSR:StopPlace:44524,,700,01
NSR:Quay:76569,Holandsøy,64.480044,12.157990,,,NSR:StopPlace:44524,,700,02
NSR:Quay:76570,Øltappen,64.567642,11.617612,,,NSR:StopPlace:44525,,700,02
NSR:Quay:76571,Aunsjøen,63.606256,10.878383,,,NSR:StopPlace:44526,,700,01
NSR:Quay:76572,Øltappen,64.567757,11.617108,,,NSR:StopPlace:44525,,700,01
NSR:Quay:76573,Aunsjøen,63.606175,10.878136,,,NSR:StopPlace:44526,,700,02
NSR:Quay:76574,Leir,64.471747,12.160033,,,NSR:StopPlace:44527,,700,01
NSR:Quay:76575,Leir,64.472093,12.159272,,,NSR:StopPlace:44527,,700,02
NSR:Quay:76576,Hestvika,64.576323,11.622555,,,NSR:StopPlace:44528,,700,01
NSR:Quay:76577,Hestvika,64.576517,11.622653,,,NSR:StopPlace:44528,,700,02
NSR:Quay:76578,Lillevik,63.610321,10.895549,,,NSR:StopPlace:44529,,700,01
NSR:Quay:76579,Lillevik,63.609965,10.894248,,,NSR:StopPlace:44529,,700,02
NSR:Quay:76580,Vie,64.469548,12.167881,,,NSR:StopPlace:44530,,700,01
NSR:Quay:76581,Vie,64.469604,12.167988,,,NSR:StopPlace:44530,,700,02
NSR:Quay:76582,Halla vegdele,64.588856,11.623889,,,NSR:StopPlace:44531,,700,02
NSR:Quay:76583,Halla vegdele,64.588784,11.623910,,,NSR:StopPlace:44531,,700,01
NSR:Quay:76585,Frosta sentrum,63.587410,10.742129,,,NSR:StopPlace:44532,,700,01
NSR:Quay:76586,Føynum,64.470444,12.195301,,,NSR:StopPlace:44533,,700,01
NSR:Quay:76587,Føynum,64.470429,12.195539,,,NSR:StopPlace:44533,,700,02
NSR:Quay:76588,Foss,64.592148,11.622504,,,NSR:StopPlace:44534,,700,01
NSR:Quay:76590,Juberg,63.583349,10.759467,,,NSR:StopPlace:44535,,700,01
NSR:Quay:76591,Juberg,63.583281,10.759397,,,NSR:StopPlace:44535,,700,02
NSR:Quay:76592,Bergsmo,64.470425,12.204697,,,NSR:StopPlace:44536,,700,01
NSR:Quay:76593,Bergsmo,64.470320,12.204958,,,NSR:StopPlace:44536,,700,02
NSR:Quay:76594,Bergum,64.584053,11.633636,,,NSR:StopPlace:44537,,700,01
NSR:Quay:76596,Ravlosve,63.580651,10.786324,,,NSR:StopPlace:44538,,700,01
NSR:Quay:76597,Ravlosve,63.580616,10.788145,,,NSR:StopPlace:44538,,700,02
NSR:Quay:76598,Moum,64.468418,12.248662,,,NSR:StopPlace:44539,,700,02
NSR:Quay:76599,Moum,64.468353,12.246829,,,NSR:StopPlace:44539,,700,01
NSR:Quay:76601,Røbergvik,64.582783,11.652608,,,NSR:StopPlace:44540,,700,01
NSR:Quay:76602,Vågen,63.583839,10.803219,,,NSR:StopPlace:44541,,700,02
NSR:Quay:76603,Vågen,63.583849,10.803106,,,NSR:StopPlace:44541,,700,01
NSR:Quay:76605,Skjemsvold,64.452698,12.231977,,,NSR:StopPlace:44542,,700,02
NSR:Quay:76608,Esso,63.580813,10.756967,,,NSR:StopPlace:44544,,700,02
NSR:Quay:76609,Esso,63.580765,10.756758,,,NSR:StopPlace:44544,,700,01
NSR:Quay:76610,Jørem,64.454075,12.186626,,,NSR:StopPlace:44545,,700,01
NSR:Quay:76611,Jørem,64.454189,12.186574,,,NSR:StopPlace:44545,,700,02
NSR:Quay:76614,Vikakorsen,63.575076,10.742011,,,NSR:StopPlace:44547,,700,02
NSR:Quay:76615,Vikakorsen,63.575810,10.743041,,,NSR:StopPlace:44547,,700,01
NSR:Quay:76617,Øyheim,64.468360,12.149760,,,NSR:StopPlace:44548,,700,01
NSR:Quay:76618,Øyheim,64.468321,12.149564,,,NSR:StopPlace:44548,,700,02
NSR:Quay:76619,Berre,64.343990,11.541787,,,NSR:StopPlace:44549,,700,01
NSR:Quay:76620,Berre,64.343804,11.541776,,,NSR:StopPlace:44549,,700,02
NSR:Quay:76625,Smålandsbakkan,63.591875,10.713513,,,NSR:StopPlace:44551,,700,02
NSR:Quay:76626,Smålandsbakkan,63.591733,10.713491,,,NSR:StopPlace:44551,,700,03
NSR:Quay:76627,Haugen,63.446599,11.601265,,,NSR:StopPlace:44552,,700,02
NSR:Quay:76628,Haugen,63.446664,11.601359,,,NSR:StopPlace:44552,,700,01
NSR:Quay:76629,Ekker,64.444553,12.338677,,,NSR:StopPlace:44553,,700,01
NSR:Quay:76630,Ekker,64.444550,12.338904,,,NSR:StopPlace:44553,,700,02
NSR:Quay:76632,Gudå bru,63.444601,11.614249,,,NSR:StopPlace:44555,,700,01
NSR:Quay:76635,Formo,64.435369,12.336635,,,NSR:StopPlace:44556,,700,02
NSR:Quay:76636,Formo,64.435273,12.336539,,,NSR:StopPlace:44556,,700,01
NSR:Quay:76638,Voldnesset,63.442810,11.630957,,,NSR:StopPlace:44558,,700,02
NSR:Quay:76639,Nåvik,63.603857,10.734632,,,NSR:StopPlace:44557,,700,03
NSR:Quay:76640,Voldnesset,63.442967,11.631968,,,NSR:StopPlace:44558,,700,01
NSR:Quay:76641,Nåvik,63.602622,10.733731,,,NSR:StopPlace:44557,,700,01
NSR:Quay:76642,Grong sentrum,64.465652,12.312187,,,NSR:StopPlace:44559,,700,01
NSR:Quay:76644,Kirkeby,63.443328,11.651452,,,NSR:StopPlace:44560,,700,01
NSR:Quay:76645,Kirkeby,63.443278,11.650746,,,NSR:StopPlace:44560,,700,02
NSR:Quay:76646,Tautra,63.577593,10.621325,,,NSR:StopPlace:44561,,700,01
NSR:Quay:76647,Tautra,63.577593,10.621175,,,NSR:StopPlace:44561,,700,02
NSR:Quay:76648,Grong gård,64.466120,12.298869,,,NSR:StopPlace:44562,,700,01
NSR:Quay:76649,Grong gård,64.466052,12.298967,,,NSR:StopPlace:44562,,700,02
NSR:Quay:76650,Haugan,63.545115,10.656298,,,NSR:StopPlace:44563,,700,01
NSR:Quay:76651,Haugan,63.545260,10.656457,,,NSR:StopPlace:44563,,700,02
NSR:Quay:76652,Brennbekken,63.443154,11.660043,,,NSR:StopPlace:44564,,700,01
NSR:Quay:76653,Brennbekken,63.443090,11.659957,,,NSR:StopPlace:44564,,700,02
NSR:Quay:76654,Duun,64.458016,12.283020,,,NSR:StopPlace:44565,,700,02
NSR:Quay:76655,Duun,64.457931,12.283005,,,NSR:StopPlace:44565,,700,01
NSR:Quay:76656,Solvang,63.554644,10.676147,,,NSR:StopPlace:44566,,700,01
NSR:Quay:76657,Fagerlia,63.440536,11.687964,,,NSR:StopPlace:44567,,700,01
NSR:Quay:76658,Fagerlia,63.440297,11.688372,,,NSR:StopPlace:44567,,700,02
NSR:Quay:76659,Solvang,63.554654,10.676471,,,NSR:StopPlace:44566,,700,02
NSR:Quay:76660,Kvitum,64.454792,12.270331,,,NSR:StopPlace:44568,,700,01
NSR:Quay:76661,Kvitum,64.454933,12.271560,,,NSR:StopPlace:44568,,700,02
NSR:Quay:76662,Skiheisen,63.442813,11.682211,,,NSR:StopPlace:44569,,700,01
NSR:Quay:76663,Skiheisen,63.443171,11.681911,,,NSR:StopPlace:44569,,700,02
NSR:Quay:76664,Mostadkorsen,63.559612,10.692830,,,NSR:StopPlace:44570,,700,02
NSR:Quay:76665,Mostadkorsen,63.559224,10.692229,,,NSR:StopPlace:44570,,700,01
NSR:Quay:76666,Heggum,64.454945,12.258954,,,NSR:StopPlace:44571,,700,01
NSR:Quay:76667,Heggum,64.454793,12.259520,,,NSR:StopPlace:44571,,700,02
NSR:Quay:76668,Skogen,63.439243,11.697973,,,NSR:StopPlace:44572,,700,02
NSR:Quay:76669,Skogen,63.439124,11.698090,,,NSR:StopPlace:44572,,700,01
NSR:Quay:76670,Kroglund,63.566338,10.703543,,,NSR:StopPlace:44573,,700,04
NSR:Quay:76672,Kroglund,63.566199,10.703210,,,NSR:StopPlace:44573,,700,02
NSR:Quay:76674,Rønningen,64.459894,12.335680,,,NSR:StopPlace:44574,,700,02
NSR:Quay:76675,Rønningen,64.460112,12.335584,,,NSR:StopPlace:44574,,700,01
NSR:Quay:76676,Stormyra,63.433209,11.710133,,,NSR:StopPlace:44575,,700,01
NSR:Quay:76678,Rygg,63.574834,10.690263,,,NSR:StopPlace:44576,,700,01
NSR:Quay:76679,Rygg,63.575000,10.689563,,,NSR:StopPlace:44576,,700,03
NSR:Quay:76680,Rygg,63.574864,10.691725,,,NSR:StopPlace:44576,,700,02
NSR:Quay:76681,Rygg,63.574840,10.691457,,,NSR:StopPlace:44576,,700,04
NSR:Quay:76682,Formofoss,64.400015,12.344960,,,NSR:StopPlace:44577,,700,01
NSR:Quay:76683,Formofoss,64.400123,12.345449,,,NSR:StopPlace:44577,,700,02
NSR:Quay:76684,Funnmo,63.429493,11.726661,,,NSR:StopPlace:44578,,700,02
NSR:Quay:76685,Funnmo,63.429886,11.725636,,,NSR:StopPlace:44578,,700,01
NSR:Quay:76686,Meråker sentrum,63.419616,11.737274,,,NSR:StopPlace:44579,,700,01
NSR:Quay:76687,Meråker sentrum,63.419670,11.737017,,,NSR:StopPlace:44579,,700,02
NSR:Quay:76688,Varteig,63.569445,10.717042,,,NSR:StopPlace:44580,,700,01
NSR:Quay:76689,Ekkersætran,64.406729,12.415877,,,NSR:StopPlace:44581,,700,02
NSR:Quay:76690,Varteig,63.569460,10.717533,,,NSR:StopPlace:44580,,700,02
NSR:Quay:76691,Ekkersætran,64.406679,12.415921,,,NSR:StopPlace:44581,,700,01
NSR:Quay:76693,Brukeskrysset,63.413796,11.744318,,,NSR:StopPlace:44582,,700,02
NSR:Quay:76694,Trangen,64.430471,12.481209,,,NSR:StopPlace:44583,,700,01
NSR:Quay:76695,Trangen,64.430550,12.481287,,,NSR:StopPlace:44583,,700,02
NSR:Quay:76696,Holmberget,63.580728,10.677601,,,NSR:StopPlace:44584,,700,01
NSR:Quay:76697,Holmberget,63.580818,10.677601,,,NSR:StopPlace:44584,,700,02
NSR:Quay:76699,Brenna,63.405084,11.764217,,,NSR:StopPlace:44585,,700,02
NSR:Quay:76700,Sandnes,64.438716,12.498383,,,NSR:StopPlace:44586,,700,02
NSR:Quay:76701,Sandnes,64.438705,12.498600,,,NSR:StopPlace:44586,,700,01
NSR:Quay:76702,Skogseth,63.614002,10.748913,,,NSR:StopPlace:44587,,700,01
NSR:Quay:76703,Skogseth,63.613979,10.748631,,,NSR:StopPlace:44587,,700,02
NSR:Quay:76705,Turifoss,63.397513,11.796446,,,NSR:StopPlace:44588,,700,02
NSR:Quay:76706,Turifoss,63.397301,11.798383,,,NSR:StopPlace:44588,,700,03
NSR:Quay:76707,Godejord,64.450670,12.573616,,,NSR:StopPlace:44589,,700,02
NSR:Quay:76708,Godejord,64.450611,12.573799,,,NSR:StopPlace:44589,,700,01
NSR:Quay:76709,Romma,63.623381,10.762954,,,NSR:StopPlace:44590,,700,01
NSR:Quay:76710,Romma,63.622798,10.762645,,,NSR:StopPlace:44590,,700,03
NSR:Quay:76711,Romma,63.623134,10.763595,,,NSR:StopPlace:44590,,700,02
NSR:Quay:76713,Kopperå stasjon,63.391949,11.847294,,,NSR:StopPlace:44591,,700,01
NSR:Quay:76714,Nynesset,64.456023,12.659141,,,NSR:StopPlace:44592,,700,01
NSR:Quay:76715,Nynesset,64.455687,12.652916,,,NSR:StopPlace:44592,,700,02
NSR:Quay:76718,Fånes,63.632018,10.785146,,,NSR:StopPlace:44594,,700,01
NSR:Quay:76719,Fånes,63.632046,10.784916,,,NSR:StopPlace:44594,,700,02
NSR:Quay:76720,Toremoen,64.460770,12.763574,,,NSR:StopPlace:44595,,700,01
NSR:Quay:76721,Toremoen,64.460718,12.763829,,,NSR:StopPlace:44595,,700,02
NSR:Quay:76724,Hellberg,63.632874,10.812263,,,NSR:StopPlace:44597,,700,01
NSR:Quay:76725,Hellberg,63.632818,10.812127,,,NSR:StopPlace:44597,,700,02
