from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331849_6026,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341783_6012,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331855_6032,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341785_6014,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331861_6038,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341787_6016,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331867_6044,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341789_6018,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331873_6050,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341791_6020,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331879_6056,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341793_6022,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331885_6062,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341795_6024,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331891_6068,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341797_6026,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331897_6074,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341732_6028,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331903_6080,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341733_6030,1
NSR:Quay:74037,ATB:ServiceJourney:75_210927153349057_18,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340241_25,1
NSR:Quay:74037,ATB:ServiceJourney:75_211220096148056_7012,NSR:Quay:74037,ATB:ServiceJourney:76_211028073285291_7001,1
NSR:Quay:74192,ATB:ServiceJourney:72_211220096149829_46,NSR:Quay:74192,ATB:ServiceJourney:83_211220096148512_10,1
NSR:Quay:74192,ATB:ServiceJourney:72_211220096149826_38,NSR:Quay:74192,ATB:ServiceJourney:83_211028073285692_8,1
NSR:Quay:75287,ATB:ServiceJourney:72_211220096149818_30,NSR:Quay:75287,ATB:ServiceJourney:83_211028073285691_4,1
NSR:Quay:75172,ATB:ServiceJourney:75_210927153349105_14,NSR:Quay:75172,ATB:ServiceJourney:76_210927153347404_10,1
NSR:Quay:75172,ATB:ServiceJourney:75_210927153349104_12,NSR:Quay:75172,ATB:ServiceJourney:76_210927153347400_8,1
