from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:75658,ATB:ServiceJourney:1_211220096139944_117,NSR:Quay:75658,ATB:ServiceJourney:79_211028073285449_18,1
NSR:Quay:74337,ATB:ServiceJourney:452_220125140240269_9004,NSR:Quay:74337,ATB:ServiceJourney:451_220125140238993_9004,1
NSR:Quay:71348,ATB:ServiceJourney:452_220103105898088_3,NSR:Quay:71348,ATB:ServiceJourney:595_220103105898497_4,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140013_6001,NSR:Quay:75658,ATB:ServiceJourney:79_211220096148281_6002,1
NSR:Quay:72659,ATB:ServiceJourney:452_220125140240273_1009,NSR:Quay:72659,ATB:ServiceJourney:591_220125140239362_1008,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140000_225,NSR:Quay:75658,ATB:ServiceJourney:79_211028073285458_38,1
NSR:Quay:72659,ATB:ServiceJourney:452_220125140240271_1003,NSR:Quay:72659,ATB:ServiceJourney:591_220125140239356_1002,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140006_237,NSR:Quay:75658,ATB:ServiceJourney:79_211028073285460_42,1
NSR:Quay:72659,ATB:ServiceJourney:452_220103105898090_9,NSR:Quay:72659,ATB:ServiceJourney:591_220103105897179_8,1
NSR:Quay:71348,ATB:ServiceJourney:452_220125140240271_1003,NSR:Quay:71348,ATB:ServiceJourney:595_220125140240680_1004,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140061_6097,NSR:Quay:75658,ATB:ServiceJourney:79_211028073285471_6020,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140067_6109,NSR:Quay:75658,ATB:ServiceJourney:79_211028073285472_6022,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140016_6007,NSR:Quay:75658,ATB:ServiceJourney:79_211220096148282_6004,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096140055_6085,NSR:Quay:75658,ATB:ServiceJourney:79_211028073285470_6018,1
