service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATB:DayType:711,1,0,0,0,0,0,0,20220329,20220626
ATB:DayType:712,0,0,0,0,1,1,0,20220403,20220630
ATB:DayType:713,0,1,0,1,1,0,0,20220402,20220627
ATB:DayType:715,0,1,0,1,0,0,0,20220408,20220815
ATB:DayType:716,1,0,0,0,1,0,0,20220625,20220814
ATB:DayType:717,0,1,1,1,0,0,0,20220401,20220621
ATB:DayType:718,0,1,0,0,1,0,0,20220402,20220623
ATB:DayType:719,0,0,0,1,0,0,0,20220401,20220622
ATB:DayType:720,0,1,0,1,0,0,0,20220401,20220622
ATB:DayType:721,1,1,0,1,1,0,0,20220402,20220626
ATB:DayType:723,1,0,1,0,1,0,0,20220402,20220621
ATB:DayType:726,0,0,0,0,1,1,0,20220403,20220818
ATB:DayType:728,1,0,0,0,0,0,0,20220329,20220626
ATB:DayType:729,1,1,1,1,1,0,0,20220402,20220621
ATB:DayType:730,0,0,0,0,1,1,0,20220501,20220630
ATB:DayType:731,0,0,0,0,0,1,0,20220403,20220701
ATB:DayType:733,1,1,1,0,0,0,0,20220331,20220621
ATB:DayType:734,0,1,1,1,0,0,0,20220401,20220627
ATB:DayType:736,1,1,1,1,1,0,0,20220409,20220626
ATB:DayType:737,1,1,0,1,1,0,0,20220402,20220626
ATB:DayType:738,0,0,0,0,0,1,0,20220403,20220701
ATB:DayType:741,0,0,0,0,1,1,0,20220403,20220630
ATB:DayType:742,1,0,0,1,1,0,0,20220402,20220622
ATB:DayType:743,1,1,0,1,0,0,0,20220401,20220622
ATB:DayType:747,0,1,1,1,0,0,0,20220401,20220627
ATB:DayType:751,0,0,0,0,1,0,0,20220402,20220623
ATB:DayType:753,0,0,0,0,1,0,0,20220402,20220818
ATB:DayType:754,1,1,0,0,1,0,0,20220402,20220626
ATB:DayType:758,1,1,0,1,0,0,0,20220401,20220622
ATB:DayType:759,0,0,0,0,1,1,0,20220403,20220630
ATB:DayType:760,0,0,0,1,1,0,0,20220402,20220622
ATB:DayType:762,0,0,1,0,0,0,0,20220331,20220621
ATB:DayType:763,1,0,1,1,0,0,0,20220401,20220621
ATB:DayType:765,0,0,1,0,1,0,0,20220428,20220816
ATB:DayType:767,1,1,1,1,1,0,0,20220402,20220626
ATB:DayType:769,0,1,0,0,1,0,0,20220625,20220815
ATB:DayType:770,0,1,1,0,0,0,0,20220407,20220815
ATB:DayType:771,1,1,1,1,1,0,0,20220402,20220621
ATB:DayType:775,1,1,1,1,0,0,0,20220401,20220626
ATB:DayType:776,1,1,1,1,1,0,0,20220625,20220814
ATB:DayType:777,1,1,1,1,0,0,0,20220401,20220814
ATB:DayType:778,0,0,0,1,0,0,0,20220401,20220817
ATB:DayType:780,0,0,1,1,0,0,0,20220401,20220628
ATB:DayType:781,0,0,1,0,0,0,0,20220331,20220816
ATB:DayType:782,0,1,0,1,0,0,0,20220401,20220627
ATB:DayType:785,0,1,1,1,1,0,0,20220402,20220621
ATB:DayType:786,1,0,0,0,0,0,0,20220621,20220814
ATB:DayType:787,0,0,0,0,1,0,0,20220416,20220630
ATB:DayType:788,1,1,1,1,0,0,0,20220624,20220814
ATB:DayType:791,0,1,0,0,0,0,0,20220330,20220627
ATB:DayType:793,0,0,0,1,1,0,0,20220402,20220817
ATB:DayType:796,0,1,1,1,0,0,0,20220408,20220815
ATB:DayType:797,1,1,1,1,1,0,0,20220402,20220626
ATB:DayType:804,1,1,0,1,1,0,0,20220625,20220814
ATB:DayType:806,0,0,0,1,0,0,0,20220624,20220817
ATB:DayType:807,1,0,0,0,1,0,0,20220402,20220626
ATB:DayType:810,0,0,0,0,1,0,0,20220416,20220602
ATB:DayType:811,0,0,0,0,1,1,0,20220626,20220818
ATB:DayType:812,1,1,1,1,0,0,0,20220401,20220626
ATB:DayType:813,0,0,0,0,0,1,0,20220417,20220701
ATB:DayType:815,0,0,0,0,0,0,1,20220627,20220820
ATB:DayType:816,0,0,1,0,0,0,0,20220428,20220621
ATB:DayType:817,1,1,1,0,1,0,0,20220402,20220626
ATB:DayType:818,1,0,0,0,0,0,0,20220329,20220814
ATB:DayType:819,0,1,1,1,0,0,0,20220624,20220815
ATB:DayType:820,0,0,1,0,1,0,0,20220402,20220621
ATB:DayType:821,0,1,0,0,1,0,0,20220402,20220627
ATB:DayType:822,0,1,0,1,0,0,0,20220401,20220622
ATB:DayType:824,1,1,1,1,0,0,0,20220401,20220621
ATB:DayType:825,1,1,1,1,1,0,0,20220402,20220814
ATB:DayType:826,0,0,0,0,0,0,1,20220530,20220820
ATB:DayType:827,1,0,1,0,1,0,0,20220402,20220626
ATB:DayType:828,1,0,1,1,0,0,0,20220401,20220626
ATB:DayType:829,0,1,0,1,1,0,0,20220402,20220815
ATB:DayType:830,0,0,0,0,0,0,1,20220620,20220820
ATB:DayType:832,1,0,1,1,1,0,0,20220402,20220626
ATB:DayType:834,1,1,0,1,1,0,0,20220402,20220622
ATB:DayType:835,0,0,0,1,1,0,0,20220408,20220817
ATB:DayType:836,1,0,1,0,0,0,0,20220331,20220814
ATB:DayType:838,0,0,1,1,1,0,0,20220402,20220621
ATB:DayType:839,1,0,1,1,0,0,0,20220401,20220626
ATB:DayType:840,0,1,0,0,1,0,0,20220402,20220623
ATB:DayType:841,1,1,1,1,0,0,0,20220401,20220814
ATB:DayType:842,1,1,1,1,1,0,0,20220402,20220814
ATB:DayType:843,0,1,1,1,1,0,0,20220402,20220815
ATB:DayType:844,0,0,1,0,1,0,0,20220402,20220628
ATB:DayType:845,0,1,0,1,0,0,0,20220401,20220815
ATB:DayType:847,0,0,0,0,0,1,0,20220403,20220819
ATB:DayType:849,0,1,0,1,1,0,0,20220402,20220622
ATB:DayType:850,1,1,1,1,1,0,0,20220402,20220814
ATB:DayType:852,1,1,1,1,0,0,0,20220401,20220621
ATB:DayType:853,1,1,1,1,1,0,0,20220409,20220814
ATB:DayType:854,1,1,1,0,1,0,0,20220402,20220621
ATB:DayType:855,0,0,0,0,0,1,0,20220403,20220701
ATB:DayType:857,0,0,1,0,0,0,0,20220414,20220628
ATB:DayType:858,0,0,0,1,1,0,0,20220408,20220817
ATB:DayType:859,0,0,0,0,0,1,0,20220619,20220819
ATB:DayType:862,0,1,0,0,0,0,0,20220330,20220627
ATB:DayType:863,1,1,0,0,1,0,0,20220402,20220623
ATB:DayType:865,0,0,1,0,0,0,0,20220331,20220816
ATB:DayType:867,1,1,0,1,1,0,0,20220402,20220626
ATB:DayType:868,0,1,0,0,1,0,0,20220402,20220627
ATB:DayType:871,1,1,1,1,1,0,0,20220402,20220626
ATB:DayType:872,0,1,1,0,1,0,0,20220402,20220621
ATB:DayType:875,0,0,0,0,1,0,0,20220402,20220818
ATB:DayType:876,1,1,1,1,0,0,0,20220401,20220626
ATB:DayType:877,1,1,1,1,1,0,0,20220430,20220626
ATB:DayType:879,0,0,1,0,0,0,0,20220331,20220628
ATB:DayType:881,0,0,1,1,0,0,0,20220401,20220621
ATB:DayType:882,1,0,1,1,1,0,0,20220402,20220621
ATB:DayType:883,0,0,0,0,0,1,0,20220403,20220819
ATB:DayType:884,1,0,0,0,1,0,0,20220402,20220623
ATB:DayType:886,0,0,0,0,0,1,0,20220501,20220819
ATB:DayType:888,1,0,1,0,0,0,0,20220623,20220814
ATB:DayType:889,0,0,1,0,1,0,0,20220402,20220816
ATB:DayType:891,0,1,0,1,1,0,0,20220402,20220627
ATB:DayType:895,0,0,0,0,0,1,0,20220403,20220701
ATB:DayType:901,0,0,0,0,1,1,0,20220403,20220505
ATB:DayType:903,0,0,1,0,0,0,0,20220331,20220628
ATB:DayType:904,0,0,0,0,1,1,0,20220403,20220505
ATB:DayType:906,0,1,0,0,0,0,0,20220601,20220815
ATB:DayType:907,0,1,1,1,1,0,0,20220402,20220621
ATB:DayType:909,1,1,1,1,0,0,0,20220401,20220626
ATB:DayType:912,0,0,0,0,1,0,0,20220402,20220818
ATB:DayType:913,1,0,1,0,0,0,0,20220331,20220626
ATB:DayType:915,1,1,1,1,1,0,0,20220402,20220626
ATB:DayType:916,0,0,0,0,1,1,0,20220403,20220818
ATB:DayType:917,0,0,0,0,1,0,0,20220402,20220630
ATB:DayType:918,1,1,1,1,0,0,0,20220401,20220814
ATB:DayType:919,1,0,1,0,0,0,0,20220331,20220621
ATB:DayType:922,0,0,0,1,0,0,0,20220401,20220629
ATB:DayType:923,1,0,1,0,0,0,0,20220331,20220814
ATB:DayType:924,1,1,0,0,0,0,0,20220330,20220626
ATB:DayType:927,1,1,0,1,0,0,0,20220401,20220626
ATB:DayType:928,1,0,1,0,1,0,0,20220407,20220626
ATB:DayType:929,0,0,0,0,1,0,0,20220402,20220630
ATB:DayType:930,0,0,0,0,0,1,0,20220626,20220819
ATB:DayType:933,0,1,1,0,0,0,0,20220331,20220621
ATB:DayType:935,1,1,1,1,1,0,0,20220430,20220621
ATB:DayType:936,1,0,1,0,1,0,0,20220625,20220814
ATB:DayType:937,1,1,1,1,1,0,0,20220408,20220814
ATB:DayType:938,0,0,0,0,0,0,1,20220425,20220820
ATB:DayType:939,0,0,0,0,1,0,0,20220625,20220818
ATB:DayType:942,0,0,1,0,0,0,0,20220623,20220816
ATB:DayType:943,1,1,1,1,1,0,0,20220625,20220814
ATB:DayType:944,1,1,0,1,0,0,0,20220429,20220814
ATB:DayType:945,1,0,0,0,1,0,0,20220402,20220626
ATB:DayType:946,1,0,0,1,1,0,0,20220531,20220814
ATB:DayType:947,1,0,1,0,1,0,0,20220402,20220814
ATB:DayType:950,1,1,1,0,0,0,0,20220331,20220814
ATB:DayType:952,1,1,0,1,1,0,0,20220402,20220622
ATB:DayType:954,1,0,1,1,0,0,0,20220624,20220814
ATB:DayType:955,1,1,1,1,1,0,0,20220430,20220814
ATB:DayType:956,0,0,0,0,0,1,0,20220403,20220819
ATB:DayType:957,0,1,1,0,1,0,0,20220402,20220621
ATB:DayType:959,1,0,1,0,0,0,0,20220331,20220814
ATB:DayType:960,1,0,1,0,0,0,0,20220331,20220626
ATB:DayType:961,1,0,0,1,0,0,0,20220401,20220622
ATB:DayType:962,0,0,0,0,0,1,0,20220403,20220819
