route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
ATB:Line:0503-2018-08-13,ATB:Authority:160,503,Klæbu- Bjørkli- Ler,,704,,,
ATB:Line:0421-2018-08-13,ATB:Authority:160,421,Orkanger - Lensvik - Valset/Væ,,704,,,
ATB:Line:0860-2018-08-13,ATB:Authority:160,860,Garten - Storfosna - Leksa - V,,1004,,,
ATB:Line:0109-2018-08-13,ATB:Authority:160,109,Nattbuss Bjørndalen/Kattem/Lun,,704,,,
ATB:Line:0155-2018-08-13,ATB:Authority:160,155,Nattbuss Moholt/Brøset,,704,,,
ATB:Line:0047-2018-08-13,ATB:Authority:160,47,Trondheim S- Sandmoen- Klæbu,,704,,,
ATB:Line:0830-2018-08-13,ATB:Authority:160,830,Sandvikberget - Sætervik,,1004,,,
ATB:Line:0552-2018-08-13,ATB:Authority:160,552,Vanvikan - Rissa,,704,,,
ATB:Line:0060-2018-08-13,ATB:Authority:160,60,Trd S- Valentinlyst- Strindhei,,704,,,
ATB:Line:0850-2018-08-13,ATB:Authority:160,850,Dypfest - Tarva,,1004,,,
ATB:Line:0320-2018-08-13,ATB:Authority:160,320,Trondheim - Orkanger - Hitra -,,704,,,
ATB:Line:0460-2018-08-13,ATB:Authority:160,460,(Trondheim) - Orkanger - Melda,,704,,,
ATB:Line:0188-2018-08-13,ATB:Authority:160,188,Nattbuss Othilienborg/Risvolla,,704,,,
ATB:Line:0385-2018-08-13,ATB:Authority:160,385,Hommelvik- Sneisen,,704,,,
ATB:Line:0076-2018-08-13,ATB:Authority:160,76,M1- Klefstadbukta/Hangeråsen-,,704,,,
ATB:Line:0104-2018-08-13,ATB:Authority:160,104,Nattbuss Kolstad/Heimstad,,704,,,
ATB:Line:0835-2018-08-13,ATB:Authority:160,835,Sandvikberget - Sætervik - Bes,,1004,,,
ATB:Line:0054-2018-08-13,ATB:Authority:160,54,Trondheim S- P1- Bratsberg,,704,,,
ATB:Line:0043-2018-08-13,ATB:Authority:160,43,Okstad- Heimdal- Ringvål,,704,,,
ATB:Line:0036-2018-08-13,ATB:Authority:160,36,M4- Brundalen- Stokkhaugen,,704,,,
ATB:Line:0453-2018-08-13,ATB:Authority:160,453,Botngård - Lysøysundet,,704,,,
ATB:Line:0451-2018-08-13,ATB:Authority:160,451,(Krinsvatnet) - Botngård - Bre,,704,,,
ATB:Line:0048-2018-08-13,ATB:Authority:160,48,Trondheim S- Bjørkmyr- Klæbu,,704,,,
ATB:Line:0063-2018-08-13,ATB:Authority:160,63,Strindheim- K1- Ilsvika,,704,,,
