stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,vehicle_type
NSR:StopPlace:42310,,Haakon VII gate 25,,63.44021600000001,10.460587,,,1,,2,,,700.0
NSR:StopPlace:42314,,Lade idrettsanlegg,,63.443946999999994,10.449369,,,1,,2,,,700.0
NSR:StopPlace:42329,,Skyttervegen,,63.36099,10.350651,,,1,,2,,,700.0
NSR:StopPlace:44014,,Casper Lundes veg,,63.367817,10.357700999999999,,,1,,2,,,700.0
NSR:StopPlace:41742,,Trondheim S,,63.436108,10.40108,,,1,,2,,,700.0
NSR:StopPlace:42123,,Ingemann Torps vei,,63.446236,10.442506,,,1,,2,,,700.0
NSR:StopPlace:43460,,Olav Tryggvasons gate,,63.43330400000001,10.399878999999999,,,1,,2,,,700.0
NSR:StopPlace:43468,,Anders Buens gate,,63.43841,10.429672,,,1,,2,,,700.0
NSR:StopPlace:41609,,Nidarosdomen,,63.42601,10.393397,,,1,,2,,,700.0
NSR:StopPlace:41613,,Prinsens gate,,63.43099599999999,10.392081,,,1,,2,,,700.0
NSR:StopPlace:41620,,Hesthagen,,63.414913,10.398166,,,1,,2,,,700.0
NSR:StopPlace:41633,,Tonstadkrysset,,63.370174,10.376716,,,1,,2,,,700.0
NSR:StopPlace:42975,,Lyngvegen,,63.357319999999994,10.355296000000001,,,1,,2,,,700.0
NSR:StopPlace:42013,,Saupstadsenteret,,63.367043,10.348455,,,1,,2,,,700.0
NSR:StopPlace:43347,,Kroppanbrua,,63.39577,10.390969,,,1,,2,,,700.0
NSR:StopPlace:42052,,Valøyvegen,,63.40865,10.398642,,,1,,2,,,700.0
NSR:StopPlace:42660,,Studentersamfundet,,63.42256999999999,10.394852,,,1,,2,,,700.0
NSR:StopPlace:42686,,Ladeveien,,63.443934999999996,10.435963000000001,,,1,,2,,,700.0
NSR:StopPlace:42611,,Midteggen,,63.362347,10.357173,,,1,,2,,,700.0
NSR:StopPlace:42627,,Strindheim 2,,63.43554,10.457692999999999,,,1,,2,,,700.0
NSR:StopPlace:60447,,Buran,,63.436523,10.42539,,,1,,2,,,700.0
NSR:StopPlace:43027,,Sluppen,,63.40407,10.396047,,,1,,2,,,700.0
NSR:StopPlace:43858,,Bratsbergvegen,,63.40429,10.396708,,,1,,2,,,700.0
NSR:StopPlace:42582,,Heimdal stasjon,,63.35174,10.357622000000001,,,1,,2,,,700.0
NSR:StopPlace:42478,,Åsheim skole,,63.351119999999995,10.343511999999999,,,1,,2,,,700.0
NSR:StopPlace:43789,,Bjørndalsbrua,,63.37085,10.363664,,,1,,2,,,700.0
NSR:StopPlace:43791,,Bjørndalstoppen,,63.370569999999994,10.354992,,,1,,2,,,700.0
NSR:StopPlace:41962,,Husebytunet,,63.369296999999996,10.345156,,,1,,2,,,700.0
NSR:StopPlace:60253,,Dyre Halses gate,,63.43699300000001,10.41325,,,1,,2,,,700.0
NSR:StopPlace:60257,,Lerkendal,,63.412490000000005,10.399241,,,1,,2,,,700.0
