Cecilie Thoresensv.	571883.005	7034013.511
Cecilie Thoresensv.	571891.122	7034005.668
Cecilienborg	568946.148	7032673.809
Cecilienborg	568927.406	7032686.263
Charlottenlund krk	574621.315	7033434.088
Charlottenlund krk	574635.978	7033353.657
Charlottenlund Nedre	574526.129	7034679.712
Charlottenlund Nedre	574474.537	7034741.817
Chr. Monsens gt.	571094.956	7034385.401
Christian Jelstrups v.	567915	7034062
Churchills v.	574250.904	7034301.541
Churchills.v.	574206.755	7034275.691
City Syd	569040.289	7026583.777
City Syd	568997.185	7026568.527
Dalen Hageby	572241.897	7035154.154
Dalen Hageby	572340.916	7035124.407
Dalgård	566869.183	7030408.6
Dalgård	566796.552	7030344.875
Dalsauneveien	570380.664	7030397.774
Dalsauneveien	570403.138	7030343.668
Digre	576054.702	7024813.823
Digre	576054.317	7024808.984
Distriktslege Øverlidsv.	568247.682	7024749.107
Distriktslege Øverlidsv.	568242.773	7024751.195
Ditlev Bloms vei	567843.753	7025678.926
Ditlev Bloms vei	567850.09	7025714.921
Djupmyra	568820.038	7024444.967
Djupmyra	568762.269	7024365.43
Dokkparken	570528.856	7034727.081
Dokkparken	570501.64	7034724.083
Dolpa	576866.435	7033061.639
Dolpa	576871.384	7033019.247
Dora 1	570801	7035234
Dora 1	570832	7035228
Dragvoll	573484.418	7031859.248
Dragvoll	573497	7031876
Dronningensgt. - D1	569476.897	7034480.017
Dronningensgt. - D2	569531	7034492
Dronningensgt. - D3	569486	7034471
Dronningensgt. - D4	569535	7034466
Dybdals veg	570636.489	7032370.741
Dybdals veg	570582.885	7032381.681
E.A.Smith	567717.231	7023880.824
E.A.Smith	567706.887	7023884.797
E.B.Schieldropsv.	571692	7031026
E6 City Syd	568767.853	7026613.806
E6 City Syd	568632.826	7026468.508
E6 Johan Tillersv.	568215.021	7024101.767
E6 Johan Tillersv.	568513.974	7025042.039
E6 Røddev.	566361	7022541
E6 Røddev.	566329.279	7022541.413
E6 Sandmoen	568163.174	7024028.145
E6 Sandmoen	568536.777	7025149.828
E6 Tonstadkrysset	568994.861	7027457.401
E6 Tonstadkrysset	568966.009	7027437.727
Eggen, Trondheim	556816	7028009
Eggen, Trondheim	556816	7028009
Einar Tambarskjelves gt.	569704.815	7032987.427
Einar Tambarskjelves gt.	569691.258	7033105.579
Einar Øfstis veg	571578.264	7031525.909
Einar Øfstis veg	571575.425	7031499.042
Einbakken	570952.396	7029479.369
Einbakken	570803.593	7029576.209
Eklesbakken	572087.912	7026211.327
Eklesbakken	572080.935	7026252.439
Ekra	564957.302	7021528.231
Ekra	564975.238	7021635.937
Elvheim	569318.944	7030695.551
Elvheim	569288.64	7030635.521
Engelsås	577012	7028399
Engelsås	577012	7028399
Esp meieri	566751.052	7023598.119
Esp meieri	566257.11	7022793.466
Esplykkja	566625.956	7023238.834
Esplykkja	566693.897	7023560.271
Espås	577216.398	7024966.282
Espås	577218.746	7024960.697
Estenstadveien	573149.615	7031619.604
Estenstadveien	573155.5	7031614.421
E-verket	569992.843	7030781.908
E-verket	569929.408	7030753.843
F. Rambech	567681.474	7023685.354
F. Rambech	567674.991	7023685.057
Fagerheim alle	572672.247	7035945.829
Fagerheim alle	572660.538	7035970.667
Fagerliv.	567668.413	7033929.071
Fagerliv.	567667.597	7033920.257
Fagervika	567249.031	7035159.839
Fagervika	567267.299	7035155.01
Fallet	558536.328	7026746.883
Fallet	558538.351	7026760.065
Ferstad	567397	7030812
Ferstad	567380	7030827
Festningsgt.	570680.629	7034041.286
Fiolsvingen	570934.114	7031976.286
Fiolsvingen	570924.865	7031948.408
Fjellsæter	563663.429	7032435.257
Fjellsæter	563664.484	7032442.614
Fjøslia	567881.971	7029617.729
Fjøslia	567947.762	7029641.762
Fjøsvollan	564555.805	7025920.39
Fjøsvollan	564672.351	7025948.597
Flakk	559583.369	7035748.996
Flakk	559456.556	7035722.202
Flakkleiva	560714.819	7036289.441
Flakkleiva	560674.288	7036294.141
Flakkråa	559826.895	7035829.159
Flakkråa	559742.302	7035813.089
Flaten	577683	7030809
Flaten	577681	7030806
Flatjord	574915.692	7025385.186
Flatjord	574871.898	7025385.861
Flatåsen senter	567290.107	7027916.493
Flatåsen senter	567290.107	7027916.493
Flatåstoppen	566595.859	7028354.448
Folla	572199.669	7025915.325
Folla	572192.998	7025945.435
Follafoten	561593.175	7036588.847
Follafoten	561579.205	7036598.456
Forsøket	569317.726	7030695.65
